Date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death
2021-03-01,NE,206980,,,298,0.0,2130
2021-09-01,ND,118491,107475.0,11016.0,536,66.0,1562
2020-10-01,MD,127290,,,471,0.0,4092
2020-02-01,NE,0,,,0,,0
2021-10-01,DE,134690,124148.0,10542.0,444,45.0,1977
2020-12-01,MD,234647,,,2638,0.0,5410
2020-06-01,WI,25480,22932.0,2548.0,185,11.0,700
2020-03-01,CA,157,157.0,0.0,24,0.0,2
2020-03-01,WA,4454,,,437,0.0,189
2020-07-01,ND,6602,6602.0,0.0,133,0.0,103
2020-08-01,GU,449,,,15,0.0,5
2021-02-01,MD,357483,,,942,0.0,7670
2022-01-01,WI,1120669,994535.0,126134.0,0,0.0,11173
2021-12-01,WA,793645,,,792,32.0,9580
2020-02-01,GU,0,,,0,,0
2021-02-01,CT,267337,250915.0,16422.0,0,0.0,7381
2020-05-01,CT,36085,34059.0,2026.0,621,-11.0,3285
2020-09-01,WI,98440,92712.0,5728.0,1502,94.0,1237
2022-01-01,MI,2235180,1959371.0,275809.0,0,0.0,32197
2020-04-01,CT,20360,18990.0,1370.0,545,50.0,1423
2021-09-01,NV,399234,399234.0,0.0,1446,0.0,6637
2021-05-01,WA,414750,,,772,101.0,5586
2020-01-01,MI,0,,,0,,0
2020-05-01,CT,33765,31955.0,1810.0,211,-30.0,3008
2020-09-01,VT,1572,,,2,0.0,57
2020-06-01,MS,18479,18339.0,140.0,334,4.0,1058
2021-11-01,ME,112922,80865.0,32057.0,372,58.0,1230
2020-07-01,NE,20944,,,205,0.0,285
2022-02-01,IL,2987502,2987502.0,0.0,0,0.0,35725
2021-10-01,ID,263294,209207.0,54087.0,1835,433.0,2993
2020-08-01,CA,621562,621562.0,0.0,7873,0.0,11104
2021-03-01,ND,103299,96726.0,6573.0,208,49.0,1466
2022-02-01,MD,984492,,,1694,0.0,13655
2020-03-01,WI,1,,,0,,0
2021-06-01,CA,3710454,3710454.0,0.0,-4359,0.0,63023
2022-04-01,MT,273114,212648.0,60466.0,0,0.0,3260
2020-05-01,NV,6921,6906.0,15.0,49,0.0,379
2020-10-01,WI,141655,134359.0,7296.0,1727,31.0,1392
2020-10-01,VT,1867,,,29,0.0,57
2021-05-01,MD,455635,,,378,0.0,9531
2021-02-01,GU,7699,,,10,0.0,130
2020-09-01,ID,34950,32228.0,2722.0,333,48.0,412
2020-09-01,DE,18845,17918.0,927.0,134,0.0,617
2020-04-01,NC,3448,3448.0,0.0,300,0.0,72
2020-08-01,IL,221595,220178.0,1417.0,1893,0.0,8089
2022-04-01,NE,478479,336776.0,141703.0,61,2.0,4191
2020-06-01,AL,30710,30331.0,379.0,647,4.0,1199
2021-08-01,IN,773163,,,932,0.0,14004
2022-03-01,MT,272105,211991.0,60114.0,0,0.0,3234
2021-11-01,WA,764374,,,885,178.0,9110
2021-12-01,CA,5133238,4867604.0,265634.0,0,0.0,74509
2020-03-01,MS,1439,1419.0,20.0,132,0.0,102
2022-02-01,CA,8960997,8381196.0,579801.0,19492,0.0,84700
2021-01-01,CA,3085040,3085040.0,0.0,22972,0.0,35544
2020-12-01,DE,53325,51329.0,1996.0,801,38.0,888
2020-10-01,WA,99335,,,898,41.0,2239
2021-04-01,MO,576076,,,583,247.0,8883
2021-08-01,CT,367410,334476.0,32934.0,518,53.0,8335
2021-04-01,MS,307694,188919.0,118775.0,271,131.0,7221
2020-11-01,AL,223744,189164.0,34580.0,2361,592.0,5008
2021-07-01,WI,678048,613152.0,64896.0,40,5.0,8144
2020-02-01,MO,0,,,0,,0
2022-04-01,CT,748773,670678.0,78095.0,1161,96.0,10813
2022-03-01,WI,1585260,1393058.0,192202.0,529,41.0,14302
2020-01-01,CA,0,0.0,0.0,0,0.0,0
2020-06-01,IL,135639,134778.0,861.0,593,0.0,6718
2020-08-01,VT,1340,,,3,0.0,57
2020-12-01,AL,281971,234733.0,47238.0,4675,1291.0,5786
2021-09-01,AL,780223,587987.0,192236.0,2581,834.0,14960
2020-10-01,CT,58297,55862.0,2435.0,0,0.0,4513
2020-06-01,NE,17174,,,186,0.0,234
2021-01-01,MI,594292,545866.0,48426.0,2553,284.0,13994
2021-12-01,NC,1597919,1344953.0,252966.0,3876,1008.0,19492
2021-03-01,AL,498460,393764.0,104696.0,603,140.0,10657
2020-06-01,WI,28127,25331.0,2796.0,289,26.0,757
2020-03-01,NH,158,,,21,,1
2021-10-01,ND,137678,119955.0,17723.0,552,196.0,1642
2021-08-01,NV,381766,381766.0,0.0,1022,0.0,6306
2022-05-01,ID,446856,350013.0,96843.0,307,74.0,4928
2020-01-01,CA,0,0.0,0.0,0,0.0,0
2020-05-01,MI,96146,88502.0,7644.0,1052,196.0,5859
2021-07-01,MS,333180,203219.0,129961.0,1317,594.0,7648
2022-04-01,MO,1417911,,,0,0.0,20241
2021-09-01,AL,741986,564257.0,177729.0,4420,1379.0,14133
2021-10-01,IL,1680908,1680908.0,0.0,0,0.0,28414
2022-01-01,AL,1153024,839735.0,313289.0,5683,1211.0,17471
2020-09-01,GU,2286,,,23,0.0,39
2021-10-01,DE,139473,128377.0,11096.0,314,58.0,2032
2021-09-01,NE,258993,258993.0,0.0,603,0.0,2375
2021-08-01,GU,9200,,,82,0.0,144
2022-05-01,NV,722133,666025.0,56108.0,582,42.0,10787
2021-01-01,IN,574488,,,3654,0.0,9131
2021-11-01,DE,146486,134523.0,11963.0,291,65.0,2141
2022-03-01,AL,1293986,931937.0,362049.0,47,13.0,19514
2022-02-01,VI,15395,,,0,0.0,109
2021-09-01,VI,6589,,,32,0.0,69
2020-06-01,NH,5638,,,0,0.0,357
2021-07-01,IN,754317,,,390,0.0,13845
2022-04-01,ND,240529,180515.0,60014.0,95,37.0,2257
2021-03-01,DE,94687,89505.0,5182.0,183,9.0,1559
2020-10-01,MS,107518,96545.0,10973.0,376,100.0,3383
2020-10-01,MD,140279,,,792,0.0,4237
2020-12-01,NC,520604,476872.0,43732.0,2786,446.0,7565
2021-02-01,CA,3399878,3399878.0,0.0,8842,0.0,46457
2021-06-01,NH,99348,,,19,0.0,1368
2021-02-01,MD,364553,,,903,0.0,7849
2021-10-01,NV,434754,424995.0,9759.0,738,69.0,7246
2020-02-01,CT,0,,,0,,0
2020-07-01,ND,5126,5126.0,0.0,107,0.0,93
2021-04-01,NC,960119,827620.0,132499.0,1996,462.0,13112
2022-02-01,MD,994577,,,924,0.0,13965
2021-08-01,MI,1044958,933394.0,111564.0,1429,155.0,21405
2020-12-01,ID,106455,89739.0,16716.0,1721,407.0,1014
2021-12-01,NC,1587880,1336800.0,251080.0,4115,916.0,19424
2020-03-01,IN,1514,,,282,0.0,32
2020-08-01,WI,74726,70009.0,4717.0,975,25.0,1089
2020-04-01,NC,3991,3991.0,0.0,295,0.0,91
2021-06-01,IN,752395,,,287,0.0,13809
2022-01-01,MD,974436,,,2527,0.0,13432
2022-04-01,NV,718675,662934.0,55741.0,238,23.0,10752
2020-07-01,NC,83895,83710.0,185.0,2234,24.0,1626
2021-02-01,AL,478669,379172.0,99497.0,1194,383.0,10147
2020-10-01,MI,279992,253651.0,26341.0,2707,227.0,7540
2021-07-01,GU,8477,,,0,0.0,142
2021-03-01,MD,409978,,,903,0.0,8821
2020-08-01,CA,679099,679099.0,0.0,6004,0.0,12158
2021-02-01,WI,610974,558496.0,52478.0,919,145.0,6852
2020-11-01,MI,374210,342208.0,32002.0,7030,364.0,8373
2020-09-01,GU,1619,,,0,0.0,14
2022-01-01,VI,12138,,,305,0.0,89
2022-03-01,WA,1452215,,,931,167.0,12432
2020-02-01,MD,0,,,0,0.0,0
2021-11-01,VI,7490,,,0,0.0,85
2021-09-01,ME,83660,59987.0,23673.0,387,132.0,969
2020-05-01,VI,66,,,0,0.0,4
2020-03-01,CT,1993,,,469,,34
2021-10-01,WA,699078,,,1889,191.0,8278
2021-12-01,MD,620799,,,2473,0.0,11533
2021-08-01,ID,218645,174494.0,44151.0,758,139.0,2328
2020-02-01,IL,2,,,0,,0
2021-08-01,ME,71185,51920.0,19265.0,132,50.0,901
2021-05-01,ND,107912,99606.0,8306.0,149,89.0,1494
2021-09-01,MO,791832,,,2743,816.0,11022
2020-04-01,NC,8192,8192.0,0.0,469,0.0,323
2022-04-01,DE,262211,238808.0,23403.0,253,15.0,2906
2020-03-01,MO,1,,,0,0.0,0
2020-07-01,VI,206,,,0,0.0,6
2020-05-01,VI,69,,,0,0.0,6
2021-04-01,IL,1296381,1296381.0,0.0,3866,0.0,23920
2021-02-01,MD,370136,,,1159,0.0,8019
2021-11-01,WA,733201,,,1674,470.0,8727
2020-02-01,IN,0,,,0,,0
2020-03-01,ID,0,,,0,,0
2020-03-01,ME,0,0.0,0.0,0,0.0,0
2021-03-01,WI,636041,577195.0,58846.0,727,164.0,7315
2021-02-01,NV,292059,292059.0,0.0,516,0.0,4919
2020-06-01,MD,56770,,,912,0.0,2817
2020-04-01,MT,394,,,17,,6
2021-08-01,NH,100986,,,111,40.0,1387
2021-01-01,GU,7399,,,0,0.0,124
2020-05-01,MS,13302,13206.0,96.0,372,1.0,851
2020-06-01,AL,34836,34419.0,417.0,1022,11.0,1267
2020-04-01,MO,6039,,,149,0.0,264
2022-03-01,ND,239629,179953.0,59676.0,34,6.0,2242
2020-07-01,MI,141733,128644.0,13089.0,1820,152.0,6412
2020-12-01,ME,20657,17816.0,2841.0,387,115.0,281
2020-06-01,CT,44461,42557.0,1904.0,114,5.0,4146
2021-11-01,GU,18410,,,89,66.0,245
2020-12-01,NC,428985,398215.0,30770.0,6643,913.0,6413
2020-05-01,DE,7437,6954.0,483.0,118,8.0,271
2020-11-01,ME,12095,10852.0,1243.0,449,100.0,190
2022-02-01,CT,722377,647232.0,75145.0,423,67.0,10465
2020-02-01,NH,0,,,0,,0
2020-06-01,NH,5019,,,66,0.0,283
2020-10-01,NH,9349,,,70,27.0,458
2021-08-01,ND,113330,103299.0,10031.0,53,-11.0,1545
2021-05-01,NH,97304,,,211,56.0,1326
2021-05-01,AL,543189,419586.0,123603.0,130,31.0,11391
2022-01-01,MO,1006913,,,0,0.0,16074
2020-06-01,ID,3260,2947.0,313.0,40,7.0,85
2021-04-01,NE,219809,,,245,0.0,2243
2020-05-01,NE,10162,,,424,0.0,123
2021-03-01,ID,179763,144526.0,35237.0,335,93.0,1957
2020-06-01,ND,2706,2706.0,0.0,27,0.0,66
2021-04-01,NE,220266,,,193,0.0,2245
2021-10-01,NH,124845,,,213,0.0,1498
2021-08-01,IL,1425219,1425219.0,0.0,1870,0.0,25930
2021-11-01,ID,305133,242004.0,63129.0,0,0.0,3891
2021-06-01,CA,3685455,3685455.0,0.0,423,0.0,62021
2022-03-01,WA,1445311,,,1155,327.0,12333
2020-04-01,VT,756,,,3,0.0,38
2021-11-01,WI,945715,844612.0,101103.0,0,0.0,9816
2020-02-01,IN,0,,,0,,0
2022-03-01,AL,1290078,929138.0,360940.0,547,202.0,19423
2021-03-01,DE,88600,84170.0,4430.0,251,21.0,1440
2020-05-01,WA,18321,,,316,0.0,1000
2021-11-01,NV,452450,441146.0,11304.0,950,55.0,7668
2021-10-01,DE,138912,127902.0,11010.0,505,65.0,2032
2021-11-01,MT,183213,152736.0,30477.0,745,224.0,2451
2021-07-01,WI,678459,613484.0,64975.0,227,23.0,8158
2020-11-01,ME,13574,12039.0,1535.0,202,39.0,214
2022-03-01,CA,9084834,8487070.0,597764.0,2761,0.0,88043
2020-05-01,DE,5272,5130.0,142.0,148,2.0,177
2021-08-01,VT,25471,,,109,3.0,263
2020-12-01,ID,126878,105898.0,20980.0,1426,281.0,1259
2021-11-01,IN,1087016,,,2528,0.0,17386
2020-06-01,NC,30090,30089.0,1.0,629,0.0,1025
2020-10-01,ID,53092,47175.0,5917.0,510,89.0,528
2021-11-01,IN,1061791,,,3412,0.0,17191
2020-10-01,IL,300385,297646.0,2739.0,2456,250.0,8992
2020-01-01,AL,0,0.0,0.0,0,0.0,0
2020-07-01,NC,85878,85688.0,190.0,1983,5.0,1643
2020-02-01,NV,0,,,0,,0
2021-01-01,DE,61682,59265.0,2417.0,789,41.0,947
2020-03-01,CA,510,510.0,0.0,38,0.0,7
2021-07-01,CT,354749,323852.0,30897.0,414,80.0,8293
2020-07-01,WA,34738,,,739,0.0,1352
2021-03-01,MO,567024,,,720,270.0,8788
2021-02-01,MO,535841,,,577,180.0,8258
2020-07-01,MI,131995,119866.0,12129.0,1603,149.0,6358
2022-04-01,DE,261399,238045.0,23354.0,281,18.0,2905
2021-10-01,NH,121623,,,430,0.0,1483
2021-12-01,MS,543737,309859.0,233878.0,4885,2059.0,10450
2022-04-01,DE,262461,239019.0,23442.0,250,39.0,2907
2021-08-01,NC,1123408,956187.0,167221.0,4833,1169.0,14286
2021-10-01,MS,497379,285743.0,211636.0,528,293.0,9907
2021-02-01,VT,11188,,,105,5.0,181
2020-10-01,ND,36874,36874.0,0.0,935,0.0,448
2020-06-01,WI,30227,27286.0,2941.0,559,20.0,784
2022-02-01,NV,677345,642035.0,35310.0,0,0.0,9508
2020-09-01,DE,20396,19414.0,982.0,144,3.0,635
2021-01-01,IN,602402,,,3636,0.0,9823
2020-02-01,NH,0,,,0,,0
2022-02-01,WI,1570460,1380047.0,190413.0,0,0.0,13256
2020-04-01,NH,1342,,,55,,38
2020-12-01,CT,121426,113468.0,7958.0,2672,229.0,5091
2021-04-01,CT,336210,309048.0,27162.0,722,0.0,8047
2020-05-01,CA,54937,54937.0,0.0,1321,0.0,2178
2020-05-01,ID,2769,2520.0,249.0,38,3.0,82
2020-10-01,ND,28245,28245.0,0.0,508,0.0,357
2020-06-01,CA,200461,200461.0,0.0,4890,0.0,5717
2022-03-01,MT,272397,212179.0,60218.0,41,20.0,3242
2020-11-01,AL,226260,191063.0,35197.0,2516,617.0,5032
2021-03-01,CA,3488467,3488467.0,0.0,3504,0.0,52823
2020-07-01,MT,3381,3381.0,0.0,39,0.0,47
2022-01-01,DE,225948,206498.0,19450.0,3232,327.0,2424
2020-03-01,IN,0,,,0,,0
2020-08-01,VI,869,,,41,0.0,10
2020-09-01,VI,1201,,,4,0.0,18
2020-10-01,MO,165109,,,2067,115.0,2951
2020-10-01,IL,297929,295440.0,2489.0,2166,0.0,8940
2020-08-01,WI,61985,57779.0,4206.0,875,36.0,985
2021-03-01,CT,282626,263448.0,19178.0,2680,284.0,7651
2021-08-01,ND,112169,102470.0,9699.0,119,39.0,1542
2021-06-01,VI,3844,,,5,0.0,30
2020-05-01,WI,10219,10219.0,0.0,280,0.0,400
2020-08-01,DE,16299,15392.0,907.0,57,0.0,593
2020-02-01,IL,2,,,0,,0
2022-04-01,IL,3088725,3088725.0,0.0,2060,0.0,37800
2021-10-01,ID,291252,231659.0,59593.0,380,64.0,3538
2021-08-01,NH,102205,,,88,29.0,1391
2021-06-01,WA,441211,,,679,191.0,5793
2021-11-01,MS,506556,290204.0,216352.0,514,348.0,10148
2020-01-01,ME,0,0.0,0.0,0,0.0,0
2020-06-01,AL,22626,22293.0,333.0,824,6.0,1022
2021-05-01,NV,318780,318780.0,0.0,268,0.0,5506
2021-05-01,ID,189128,151507.0,37621.0,114,19.0,2061
2020-11-01,DE,28009,26851.0,1158.0,463,13.0,734
2020-11-01,MI,396531,363196.0,33335.0,3897,219.0,8652
2021-06-01,MO,608446,,,724,242.0,9227
2020-10-01,VT,1636,,,6,0.0,57
2022-04-01,GU,47725,,,22,0.0,354
2021-10-01,NC,1400673,1187839.0,212834.0,4309,770.0,17229
2021-10-01,GU,17154,,,163,193.0,226
2020-05-01,WI,15863,15863.0,0.0,279,0.0,517
2021-09-01,ME,88809,63566.0,25243.0,521,166.0,1009
2021-02-01,VT,13736,,,60,1.0,202
2020-09-01,ND,14443,14443.0,0.0,333,0.0,160
2021-07-01,NC,1009356,864174.0,145182.0,745,200.0,13685
2020-03-01,GU,0,,,0,,0
2020-05-01,CA,53616,53616.0,0.0,1419,0.0,2138
2020-04-01,CA,22348,22348.0,0.0,554,0.0,658
2020-02-01,MS,0,,,0,,0
2022-03-01,NV,685865,647241.0,38624.0,1044,123.0,9820
2020-11-01,ME,9530,8620.0,910.0,155,24.0,166
2022-04-01,MS,797575,438238.0,359337.0,162,62.0,12444
2021-07-01,IN,772231,,,932,0.0,14004
2020-05-01,VT,845,,,2,0.0,52
2020-11-01,WI,251032,238067.0,12965.0,6104,333.0,2171
2022-01-01,NV,520948,502392.0,18556.0,3702,923.0,8488
2020-05-01,AL,16234,15987.0,247.0,363,9.0,802
2021-10-01,MT,162240,138146.0,24094.0,1344,365.0,2109
2021-11-01,NE,292032,221569.0,70463.0,2750,1044.0,3040
2021-08-01,WA,474338,,,655,178.0,6124
2020-05-01,AL,13158,12934.0,224.0,359,5.0,701
2021-10-01,CA,4808543,4592312.0,216231.0,4081,0.0,70437
2021-11-01,ME,109369,78149.0,31220.0,471,194.0,1215
2020-03-01,NE,48,,,4,0.0,0
2020-12-01,ND,92495,89525.0,2970.0,294,68.0,1292
2022-04-01,CA,9105181,8503930.0,601251.0,0,0.0,88355
2021-02-01,VT,11406,,,117,6.0,183
2020-10-01,WA,104900,,,725,25.0,2296
2021-05-01,MD,448340,,,939,0.0,9359
2022-05-01,ND,241739,181218.0,60521.0,132,59.0,2268
2020-08-01,DE,16242,15335.0,907.0,68,1.0,593
2022-03-01,ME,236046,170890.0,65156.0,256,59.0,2202
2021-06-01,ND,110707,101522.0,9185.0,27,11.0,1528
2022-01-01,AL,979179,716446.0,262733.0,9586,2314.0,16897
2021-09-01,VT,27441,,,130,2.0,274
2021-01-01,VT,7526,,,148,4.0,152
2020-11-01,NE,109007,,,2559,0.0,854
2021-07-01,VI,4301,,,15,0.0,35
2021-12-01,AL,862719,634275.0,228444.0,2170,530.0,16638
2020-05-01,ND,1225,1225.0,0.0,34,0.0,25
2021-06-01,VI,3879,,,21,0.0,30
2021-11-01,CA,5041193,4785062.0,256131.0,4195,0.0,73365
2022-03-01,ID,443309,347256.0,96053.0,274,38.0,4860
2021-07-01,AL,549275,423566.0,125709.0,304,100.0,11533
2020-08-01,CT,50897,48887.0,2010.0,0,0.0,4453
2021-01-01,DE,77837,74333.0,3504.0,445,39.0,1078
2020-04-01,MT,451,451.0,0.0,0,0.0,15
2021-12-01,GU,19303,,,3,11.0,267
2021-07-01,ME,70171,51326.0,18845.0,57,18.0,899
2020-06-01,WA,21995,,,383,0.0,1124
2021-10-01,NC,1444625,1223821.0,220804.0,3052,681.0,17921
2021-01-01,AL,390698,316077.0,74621.0,5051,1194.0,7751
2020-03-01,MS,8,5.0,3.0,2,1.0,1
2021-01-01,MD,314867,,,2516,0.0,6811
2020-04-01,WI,5911,5911.0,0.0,224,0.0,272
2020-02-01,MD,0,,,0,0.0,0
2021-03-01,GU,7767,,,9,0.0,133
2021-02-01,MO,546475,,,496,189.0,8468
2020-11-01,MS,137550,114532.0,23018.0,854,347.0,3958
2022-02-01,WI,1571997,1381488.0,190509.0,1537,96.0,13297
2020-12-01,WA,185783,,,3256,41.0,2941
2020-11-01,WI,281910,267410.0,14500.0,4407,127.0,2392
2020-06-01,MS,32836,32444.0,392.0,807,32.0,1411
2020-10-01,MD,143387,,,962,0.0,4266
2020-05-01,WA,17792,,,242,0.0,983
2021-01-01,DE,60893,58517.0,2376.0,900,39.0,937
2021-07-01,MS,329703,201261.0,128442.0,727,375.0,7609
2020-10-01,WI,160331,152192.0,8139.0,2016,60.0,1484
2020-10-01,GU,2989,,,0,0.0,58
2021-04-01,CT,327298,301324.0,25974.0,1609,193.0,7984
2020-06-01,CA,115310,115310.0,0.0,2304,0.0,4127
2022-04-01,MS,795824,437343.0,358481.0,0,0.0,12413
2020-07-01,NH,5973,,,21,0.0,387
2020-05-01,VI,69,,,0,0.0,6
2020-04-01,IN,3953,,,496,0.0,116
2021-08-01,MT,126338,111987.0,14351.0,242,51.0,1787
2021-12-01,CA,5084927,4822889.0,262038.0,7612,0.0,74046
2021-08-01,IL,1477465,1477465.0,0.0,3180,0.0,26197
2020-07-01,VT,1301,,,8,0.0,57
2021-06-01,MT,112260,101313.0,10947.0,131,16.0,1632
2022-04-01,MO,1411722,,,0,0.0,19993
2020-05-01,NC,21780,21779.0,1.0,787,0.0,784
2021-10-01,CT,395481,358491.0,36990.0,372,23.0,8667
2020-10-01,WA,104175,,,1027,33.0,2296
2021-11-01,WI,968291,864190.0,104101.0,0,0.0,9944
2022-01-01,ME,162058,118523.0,43535.0,2570,607.0,1592
2022-02-01,WI,1545059,1357698.0,187361.0,2308,682.0,12739
2021-12-01,ND,167818,138287.0,29531.0,671,437.0,1962
2021-01-01,MD,334519,,,2166,0.0,7178
2022-03-01,DE,259287,235938.0,23349.0,102,11.0,2846
2020-03-01,GU,0,,,0,,0
2021-08-01,WA,492526,,,2159,364.0,6174
2021-03-01,MS,302329,186587.0,115742.0,418,260.0,7129
2020-08-01,WA,64060,,,485,6.0,1716
2022-01-01,MS,717666,408523.0,309143.0,5533,2627.0,10831
2021-08-01,NC,1115024,949297.0,165727.0,4890,552.0,14202
2021-02-01,MD,359037,,,1554,0.0,7723
2022-03-01,ND,239125,179608.0,59517.0,82,0.0,2223
2021-09-01,NC,1260337,1071569.0,188768.0,5217,389.0,15517
2021-08-01,MD,494982,,,1067,0.0,10024
2022-03-01,IL,3048042,3048042.0,0.0,2324,0.0,37345
2022-04-01,IN,1702292,,,1518,0.0,23587
2021-07-01,MI,1006002,899954.0,106048.0,327,40.0,21116
2020-06-01,GU,226,,,1,0.0,5
2021-07-01,NV,349043,349043.0,0.0,1003,0.0,5817
2021-01-01,WI,522523,483007.0,39516.0,2085,180.0,5254
2022-04-01,GU,47565,,,12,0.0,352
2021-05-01,ME,64156,47573.0,16583.0,264,109.0,795
2022-01-01,MT,212078,172693.0,39385.0,0,0.0,2945
2020-08-01,CA,688858,688858.0,0.0,5329,0.0,12461
2022-01-01,NC,2193833,1841618.0,352215.0,24361,5953.0,20960
2021-03-01,ND,100615,95029.0,5586.0,101,69.0,1452
2022-04-01,IN,1699213,,,1154,0.0,23552
2021-06-01,DE,108222,101180.0,7042.0,42,7.0,1674
2020-02-01,MO,0,,,0,,0
2022-02-01,DE,256641,233833.0,22808.0,119,7.0,2703
2022-04-01,CA,9140562,8535899.0,604663.0,6566,0.0,88907
2021-08-01,NV,374651,374651.0,0.0,1002,0.0,6223
2020-03-01,MD,0,,,0,0.0,0
2021-10-01,WI,874942,784087.0,90855.0,2917,313.0,9344
2020-03-01,NH,367,,,53,,3
2021-07-01,NV,338072,338072.0,0.0,813,0.0,5720
2021-09-01,IN,868451,,,5152,0.0,14538
2021-04-01,WA,373325,,,1375,267.0,5322
2020-04-01,WA,12468,,,217,0.0,692
2020-04-01,DE,4258,4205.0,53.0,130,0.0,137
2020-02-01,AL,0,0.0,0.0,0,0.0,0
2021-12-01,MS,515504,294885.0,220619.0,0,0.0,10296
2020-04-01,MT,442,442.0,0.0,3,0.0,14
2020-03-01,AL,794,756.0,38.0,117,6.0,27
2021-08-01,NC,1055796,900768.0,155028.0,3294,729.0,13900
2021-11-01,MT,190424,157894.0,32530.0,353,69.0,2638
2022-03-01,NH,300185,,,0,0.0,2415
2020-04-01,MD,17766,,,1150,0.0,912
2021-10-01,NC,1410632,1196477.0,214155.0,2216,224.0,17404
2020-04-01,VI,59,,,2,0.0,4
2021-07-01,NH,99840,,,40,20.0,1381
2021-02-01,VI,2575,,,17,0.0,25
2021-07-01,NE,225120,,,101,0.0,2262
2021-08-01,MI,1026937,917638.0,109299.0,1934,302.0,21264
2021-02-01,ND,99852,94623.0,5229.0,43,10.0,1445
2021-03-01,IL,1199517,1199517.0,0.0,1182,0.0,23020
2021-06-01,GU,8224,,,9,3.0,139
2020-12-01,MI,517434,476278.0,41156.0,5540,461.0,11068
2020-08-01,WI,63028,58768.0,4260.0,1043,54.0,997
2020-08-01,NV,67491,67220.0,271.0,553,-1.0,1300
2021-02-01,CT,273101,256139.0,16962.0,0,0.0,7523
2021-02-01,ND,99153,94150.0,5003.0,119,38.0,1435
2021-06-01,AL,544733,420592.0,124141.0,199,90.0,11441
