Unnamed: 0,postal_code,state,city
0,49677,MI,reedcity
1,32621,FL,bronson
2,28040,NC,ellenboro
3,64163,MO,kansascity
4,39203,MS,jackson
5,87512,NM,amalia
6,19474,PA,skippack
7,61442,IL,keithsburg
8,12086,NY,hagaman
9,48896,MI,winn
10,26150,WV,mineralwells
11,12158,NY,selkirk
12,62083,IL,rosamond
13,44675,OH,sherrodsville
14,97455,OR,pleasanthill
15,75088,TX,rowlett
16,85718,AZ,tucson
17,83871,ID,troy
18,53813,WI,lancaster
19,97347,OR,grandronde
20,53170,WI,silverlake
21,45225,OH,cincinnati
22,12563,NY,patterson
23,8902,NJ,northbrunswick
24,33813,FL,lakeland
25,46205,IN,indianapolis
26,21205,MD,baltimore
27,4730,ME,houlton
28,44455,OH,rogers
29,26437,WV,smithfield
30,78577,TX,pharr
31,66612,KS,topeka
32,54623,WI,coonvalley
33,23149,VA,saluda
34,27201,NC,alamance
35,78066,TX,riomedina
36,42023,KY,bardwell
37,70094,LA,westwego
38,31046,GA,juliette
39,7603,NJ,bogota
40,54739,WI,elkmound
41,20906,MD,silverspring
42,72624,AR,compton
43,14617,NY,rochester
44,52651,IA,stockport
45,96055,CA,losmolinos
46,61260,IL,joy
47,23454,VA,virginiabeach
48,26030,WV,beechbottom
49,38637,MS,hornlake
50,90250,CA,hawthorne
51,29842,SC,beechisland
52,28202,NC,charlotte
53,75078,TX,prosper
54,48329,MI,waterford
55,92014,CA,delmar
56,33626,FL,tampa
57,6069,CT,sharon
58,59450,MT,highwood
59,60618,IL,chicago
60,98328,WA,eatonville
61,48449,MI,lennon
62,13787,NY,harpursville
63,23009,VA,aylett
64,66210,KS,overlandpark
65,24991,WV,williamsburg
66,42533,KY,ferguson
67,62880,IL,saintpeter
68,79244,TX,matador
69,90210,CA,beverlyhills
70,62255,IL,lenzburg
71,43004,OH,blacklick
72,62882,IL,sandoval
73,12477,NY,saugerties
74,95419,CA,campmeeker
75,95626,CA,elverta
76,6360,CT,norwich
77,4969,ME,plymouth
78,38673,MS,taylor
79,19560,PA,temple
80,42712,KY,bigclifty
81,61705,IL,bloomington
82,17554,PA,mountville
83,95692,CA,wheatland
84,71953,AR,mena
85,72773,AR,wesley
86,55024,MN,farmington
87,2816,RI,coventry
88,61234,IL,annawan
89,71744,AR,hampton
90,12789,NY,woodridge
91,78203,TX,sanantonio
92,49232,MI,camden
93,53954,WI,pardeeville
94,46917,IN,camden
95,96146,CA,olympicvalley
96,16645,PA,glenhope
97,41774,KY,viper
98,81419,CO,hotchkiss
99,47452,IN,orleans
100,83627,ID,hammett
101,83836,ID,hope
102,8555,NJ,roosevelt
103,60029,IL,golf
104,57551,SD,martin
105,77422,TX,brazoria
106,80821,CO,hugo
107,79031,TX,earth
108,49103,MI,berriensprings
109,64112,MO,kansascity
110,12083,NY,greenville
111,37763,TN,kingston
112,59059,MT,musselshell
113,81236,CO,nathrop
114,85706,AZ,tucson
115,34786,FL,windermere
116,20781,MD,hyattsville
117,54494,WI,wisconsinrapids
118,5471,VT,montgomerycenter
119,77840,TX,collegestation
120,98245,WA,eastsound
121,35463,AL,fosters
122,70441,LA,greensburg
123,29142,SC,santee
124,33852,FL,lakeplacid
125,65737,MO,reedsspring
126,94558,CA,napa
127,22015,VA,burke
128,44502,OH,youngstown
129,67208,KS,wichita
130,14055,NY,eastconcord
131,87522,NM,chimayo
132,14060,NY,farmersvillestation
133,31563,GA,surrency
134,33132,FL,miami
135,41763,KY,slemp
136,44320,OH,akron
137,61568,IL,tremont
138,37025,TN,bonaqua
139,96703,HI,anahola
140,43081,OH,westerville
141,5091,VT,woodstock
142,2915,RI,riverside
143,97367,OR,lincolncity
144,24076,VA,claudville
145,95991,CA,yubacity
146,95635,CA,greenwood
147,90069,CA,westhollywood
148,30307,GA,atlanta
149,5820,VT,albany
150,12946,NY,lakeplacid
151,45742,OH,littlehocking
152,66207,KS,overlandpark
153,3907,ME,ogunquit
154,92506,CA,riverside
155,38222,TN,buchanan
156,60542,IL,northaurora
