,postal_code,state,city
0,49677,mi,reedcity
1,32621,fl,bronson
2,28040,nc,ellenboro
3,64163,mo,kansascity
4,39203,ms,jackson
5,87512,nm,amalia
6,19474,pa,skippack
7,61442,il,keithsburg
8,12086,ny,hagaman
9,48896,mi,winn
10,26150,wv,mineralwells
11,12158,ny,selkirk
12,62083,il,rosamond
13,44675,oh,sherrodsville
14,97455,or,pleasanthill
15,75088,tx,rowlett
16,85718,az,tucson
17,83871,id,troy
18,53813,wi,lancaster
19,97347,or,grandronde
20,53170,wi,silverlake
21,45225,oh,cincinnati
22,12563,ny,patterson
23,8902,nj,northbrunswick
24,33813,fl,lakeland
25,46205,in,indianapolis
26,21205,md,baltimore
27,4730,me,houlton
28,44455,oh,rogers
29,26437,wv,smithfield
30,78577,tx,pharr
31,66612,ks,topeka
32,54623,wi,coonvalley
33,23149,va,saluda
34,27201,nc,alamance
35,78066,tx,riomedina
36,42023,ky,bardwell
37,70094,la,westwego
38,31046,ga,juliette
39,7603,nj,bogota
40,54739,wi,elkmound
41,20906,md,silverspring
42,72624,ar,compton
43,14617,ny,rochester
44,52651,ia,stockport
45,96055,ca,losmolinos
46,61260,il,joy
47,23454,va,virginiabeach
48,26030,wv,beechbottom
49,38637,ms,hornlake
50,90250,ca,hawthorne
51,29842,sc,beechisland
52,28202,nc,charlotte
53,75078,tx,prosper
54,48329,mi,waterford
55,92014,ca,delmar
56,33626,fl,tampa
57,6069,ct,sharon
58,59450,mt,highwood
59,60618,il,chicago
60,98328,wa,eatonville
61,48449,mi,lennon
62,13787,ny,harpursville
63,23009,va,aylett
64,66210,ks,overlandpark
65,24991,wv,williamsburg
66,42533,ky,ferguson
67,62880,il,saintpeter
68,79244,tx,matador
69,90210,ca,beverlyhills
70,62255,il,lenzburg
71,43004,oh,blacklick
72,62882,il,sandoval
73,12477,ny,saugerties
74,95419,ca,campmeeker
75,95626,ca,elverta
76,6360,ct,norwich
77,4969,me,plymouth
78,38673,ms,taylor
79,19560,pa,temple
80,42712,ky,bigclifty
81,61705,il,bloomington
82,17554,pa,mountville
83,95692,ca,wheatland
84,71953,ar,mena
85,72773,ar,wesley
86,55024,mn,farmington
87,2816,ri,coventry
88,61234,il,annawan
89,71744,ar,hampton
90,12789,ny,woodridge
91,78203,tx,sanantonio
92,49232,mi,camden
93,53954,wi,pardeeville
94,46917,in,camden
95,96146,ca,olympicvalley
96,16645,pa,glenhope
97,41774,ky,viper
98,81419,co,hotchkiss
99,47452,in,orleans
100,83627,id,hammett
101,83836,id,hope
102,8555,nj,roosevelt
103,60029,il,golf
104,57551,sd,martin
105,77422,tx,brazoria
106,80821,co,hugo
107,79031,tx,earth
108,49103,mi,berriensprings
109,64112,mo,kansascity
110,12083,ny,greenville
111,37763,tn,kingston
112,59059,mt,musselshell
113,81236,co,nathrop
114,85706,az,tucson
115,34786,fl,windermere
116,20781,md,hyattsville
117,54494,wi,wisconsinrapids
118,5471,vt,montgomerycenter
119,77840,tx,collegestation
120,98245,wa,eastsound
121,35463,al,fosters
122,70441,la,greensburg
123,29142,sc,santee
124,33852,fl,lakeplacid
125,65737,mo,reedsspring
126,94558,ca,napa
127,22015,va,burke
128,44502,oh,youngstown
129,67208,ks,wichita
130,14055,ny,eastconcord
131,87522,nm,chimayo
132,14060,ny,farmersvillestation
133,31563,ga,surrency
134,33132,fl,miami
135,41763,ky,slemp
136,44320,oh,akron
137,61568,il,tremont
138,37025,tn,bonaqua
139,96703,hi,anahola
140,43081,oh,westerville
141,5091,vt,woodstock
142,2915,ri,riverside
143,97367,or,lincolncity
144,24076,va,claudville
145,95991,ca,yubacity
146,95635,ca,greenwood
147,90069,ca,westhollywood
148,30307,ga,atlanta
149,5820,vt,albany
150,12946,ny,lakeplacid
151,45742,oh,littlehocking
152,66207,ks,overlandpark
153,3907,me,ogunquit
154,92506,ca,riverside
155,38222,tn,buchanan
156,60542,il,northaurora
157,97473,or,scottsburg
158,48383,mi,whitelake
159,50166,ia,milo
160,97386,or,sweethome
161,72007,ar,austin
